Rank,Menu,Cafe,URL,Price,Address
1,BLT,Old Oak Tap,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Oak-Tap-BLT/,$10,"2109 W. Chicago Ave.,"
2,Fried Bologna,Au Cheval,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Au-Cheval-Fried-Bologna/,$9,"800 W. Randolph St.,"
3,Woodland Mushroom,Xoco,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Xoco-Woodland-Mushroom/,$9.50,"445 N. Clark St.,"
4,Roast Beef,Al’s Deli,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Als-Deli-Roast-Beef/,$9.40,"914 Noyes St., Evanston,"
5,PB&L,Publican Quality Meats,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Publican-Quality-Meats-PB-L/,$10,"825 W. Fulton Mkt.,"
6,Belgian Chicken Curry Salad,Hendrickx Belgian Bread Crafter,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hendrickx-Belgian-Bread-Crafter-Belgian-Chicken-Curry-Salad/,$7.25,100 E. Walton
7,Lobster Roll,Acadia,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Acadia-Lobster-Roll/,$16,"1639 S. Wabash Ave.,"
8,Smoked Salmon Salad,Birchwood Kitchen,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Birchwood-Kitchen-Smoked-Salmon-Salad/,$10,"2211 W. North Ave.,"
9,Atomica Cemitas,Cemitas Puebla,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cemitas-Puebla-Atomica-Cemitas/,$9,"3619 W. North Ave.,"
10,Grilled Laughing Bird Shrimp and Fried Po’ Boy,Nana,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Nana-Grilled-Laughing-Bird-Shrimp-and-Fried-Oyster-Po-Boy/,$17,"3267 S. Halsted St.,"
11,Ham and Raclette Panino,Lula Cafe,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Lula-Cafe-Ham-and-Raclette-Panino/,$11,"2537 N. Kedzie Blvd.,"
12,Breaded Steak,Ricobene’s,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Ricobenes-Breaded-Steak/,$5.49,Multiple
13,The Hawkeye,Frog n Snail,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Frog-n-Snail-The-Hawkeye/,$14,"3124 N. Broadway,"
14,Chicken Dip,Crosby’s Kitchen,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Crosbys-Kitchen-Chicken-Dip/,$10,"3455 N. Southport Ave.,"
15,Wild Boar Sloppy Joe,Longman & Eagle,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Longman-and-Eagle-Wild-Boar-Sloppy-Joe/,$13,"2657 N. Kedzie Ave.,"
16,Meatball Sub,Bari,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bari-Meatball-Sub/,$4.50,"1120 W. Grand Ave.,"
17,Corned Beef,Manny’s,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mannys-Corned-Beef/,$11.95,"1141 S. Jefferson St.,"
18,Turkey Club,Eggy’s,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Eggys-Turkey-Club/,$11.50,"333 E. Benton Pl.,"
19,Falafel,Old Jerusalem,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Old-Jerusalem-Falafel/,$6.25,"1411 N. Wells St.,"
20,Crab Cake,Mindy’s HotChocolate,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Mindys-HotChocolate-Crab-Cake/,$15,"1747 N. Damen Ave.,"
21,Chicken Schnitzel,Olga’s Delicatessen,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Olgas-Delicatessen-Chicken-Schnitzel/,$5,3209 W. Irving Park
22,Shawarma,Dawali Mediterranean Kitchen,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Dawali-Mediterranean-Kitchen-Shawarma/,$6,Multiple
23,Toasted Pimiento Cheese,Big Jones,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Big-Jones-Toasted-Pimiento-Cheese/,$8,"5347 N. Clark St.,"
24,Vegetarian Panino,La Pane,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Pane-Vegetarian-Panino/,$5.99,"2954 W. Irving Park Rd.,"
25,Cali Chèvre,Pastoral,https://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Pastoral-Cali-Chevre/,$7.52,Multiple
26,Pastrami,Max’s Deli,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Maxs-Deli-Pastrami/,$11.95,"191 Skokie Valley Rd., Highland Park,"
27,The Fredo,Lucky’s Sandwich Co.,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Luckys-Sandwich-Co-The-Fredo/,$7.50,Multiple
28,Smoked Ham,City Provisions,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-City-Provisions-Smoked-Ham/,$12.95,"1818 W. Wilson Ave.,"
29,Jibarito,Papa’s Cache Sabroso,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Papas-Cache-Sabroso-Jibarito/,$7,"2517 W. Division St.,"
30,Shaved Prime Rib,Bavette’s Bar & Boeuf,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Bavettes-Bar-and-Boeuf-Shaved-Prime-Rib/,$21,218 W. Kinzie
31,Serrano Ham and Manchego Cheese,Hannah’s Bretzel,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Hannahs-Bretzel-Serrano-Ham-and-Manchego-Cheese/,$9.79,Multiple
32,Tuna Salad,La Fournette,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-La-Fournette-Tuna-Salad/,$9.75,"1547 N. Wells St.,"
33,Paramount Reuben,Paramount Room,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Paramount-Room-Paramount-Reuben/,$13,"415 N. Milwaukee Ave.,"
34,The Istanbul,Melt Sandwich Shoppe,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Melt-Sandwich-Shoppe-The-Istanbul/,$7.95,"1840 N. Damen Ave.,"
35,B.A.D.,Floriole Cafe & Bakery,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Floriole-Cafe-and-Bakery-BAD/,$9,"1220 W. Webster Ave.,"
36,Duck Confit and Mozzarella,First Slice Pie Café,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-First-Slice-Pie-Cafe-Duck-Confit-and-Mozzarella/,$9,"5357 N. Ashland Ave.,"
37,Croque Monsieur,Troquet,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Troquet-Croque-Monsieur/,$8,"1834 W. Montrose Ave.,"
38,Green Garbanzo,Grahamwich,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Grahamwich-Green-Garbanzo/,$8,"615 N. State St.,"
39,The Hen House,Saigon Sisters,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Saigon-Sisters-The-Hen-House/,$7,Multiple
40,Tuscan Chicken,Rosalia’s Deli,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Rosalias-Deli-Tuscan-Chicken/,$6,"241 N. York Rd., Elmhurst,"
41,The Marty ,Z&H MarketCafe,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Z-and-H-MarketCafe-The-Marty/,$7.25,"1323 E. 57th St.,"
42,Whitefish,Market House on the Square,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Market-House-on-the-Square-Whitefish/,$11,"655 Forest Ave., Lake Forest,"
43,"Oat Bread, Pecan Butter, and Fruit Jam",Elaine’s Coffee Call,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Elaines-Coffee-Call-Oat-Bread-Pecan-Butter-and-Fruit-Jam/,$6,"Hotel Lincoln, 1816 N. Clark St.,"
44,Cauliflower Melt,Marion Street Cheese Market,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Marion-Street-Cheese-Market-Cauliflower-Melt/,$9,"100 S. Marion St., Oak Park,"
45,Cubana,Cafecito,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Cafecito-Cubano/,$5.49,"26 E. Congress Pkwy.,"
46,Kufta,Chickpea,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Chickpea-Kufta/,$8,"2018 W. Chicago Ave.,"
47,Debbie’s Egg Salad,The Goddess and Grocer,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-The-Goddess-and-Grocer-Debbies-Egg-Salad/,$6.50,"25 E. Delaware Pl.,"
48,Beef Curry,Zenwich,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Zenwich-Beef-Curry/,$7.50,"416 N. York St., Elmhurst,"
49,Le Végétarien,Toni Patisserie,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Toni-Patisserie-Le-Vegetarien/,$8.75,"65 E. Washington St.,"
50,The Gatsby,Phoebe’s Bakery,http://www.chicagomag.com/Chicago-Magazine/November-2012/Best-Sandwiches-in-Chicago-Phoebes-Bakery-The-Gatsby/,$6.85,"3351 N. Broadway,"
